"Module Version","Module Version"
"Composer Version","Composer Version"
"Version","Version"
"Enable","Enable"
"Action","Action"
"Dashboard Section","Dashboard Section"
"Hide all selected links","Hide all selected links"
"Display only links selected","Display only links selected"
"Customer Account Links Manager","Customer Account Links Manager"
